CalcID	UnitID	Ordinal	ShortName	FullName	Unit	FriendlyName	Min	Max	Seasave	DatCnv	ASCII_IN
178	24	2	CStarAt2	Beam Attenuation, WET Labs C-Star, 3 [1/m]	1/m	CStarAt3	0.000000	100.000000	yes	yes	yes
178	24	3	CStarAt3	Beam Attenuation, WET Labs C-Star, 4 [1/m]	1/m	CStarAt4	0.000000	100.000000	yes	yes	yes
178	24	4	CStarAt4	Beam Attenuation, WET Labs C-Star, 5 [1/m]	1/m	CStarAt5	0.000000	100.000000	yes	yes	yes
178	24	5	CStarAt5	Beam Attenuation, WET Labs C-Star, 6 [1/m]	1/m	CStarAt6	0.000000	100.000000	yes	yes	yes
180	24	0	CStarAtDiff	Beam Attenuation, WET Labs C-Star, Diff, 2 - 1 [1/m]	1/m	CStarAtDiff	0.000000	100.000000	yes	yes	yes
5	46	0	xmiss	Beam Transmission, Chelsea/Seatech [%]	%	xmiss	0.000000	100.000000	yes	yes	yes
5	46	1	xmiss1	Beam Transmission, Chelsea/Seatech, 2 [%]	%	xmiss2	0.000000	100.000000	yes	yes	yes
131	46	0	xmissdiff	Beam Transmission, Chelsea/Seatech/WET Labs CStar, Diff, 2 - 1 [%]	%	xmissdiff	0.000000	100.000000	yes	yes	yes
6	46	0	wetBTrans	Beam Transmission, WET Labs AC3 [%]	%	wetBTrans	0.000000	100.000000	yes	yes	yes
179	46	0	CStarTr0	Beam Transmission, WET Labs C-Star [%]	%	CStarTr	0.000000	1000.000000	yes	yes	yes
179	46	1	CStarTr1	Beam Transmission, WET Labs C-Star, 2 [%]	%	CStarTr2	0.000000	1000.000000	yes	yes	yes
179	46	2	CStarTr2	Beam Transmission, WET Labs C-Star, 3 [%]	%	CStarTr3	0.000000	1000.000000	yes	yes	yes
179	46	3	CStarTr3	Beam Transmission, WET Labs C-Star, 4 [%]	%	CStarTr4	0.000000	1000.000000	yes	yes	yes
179	46	4	CStarTr4	Beam Transmission, WET Labs C-Star, 5 [%]	%	CStarTr5	0.000000	1000.000000	yes	yes	yes
179	46	5	CStarTr5	Beam Transmission, WET Labs C-Star, 6 [%]	%	CStarTr6	0.000000	1000.000000	yes	yes	yes
181	46	0	CStarTrdiff	Beam Transmission, WET Labs C-Star, Diff, 2 - 1 [%]	%	CStarTrdiff	0.000000	1000.000000	yes	yes	yes
148	-1	0	bpos	Bottle Position in Carousel	NO_UNIT	bpos	0.000000	36.000000	yes	yes	yes
7	-1	0	HBBotCls	Bottles Closed, HB	NO_UNIT	HBBotCls	0.000000	36.000000	yes	yes	yes
8	-1	0	nbf	Bottles Fired	NO_UNIT	nbf	0.000000	36.000000	yes	yes	yes
9	-1	0	bct	Bottom Contact	NO_UNIT	bct	0.000000	1.000000	yes	yes	yes
10	2	0	N	Buoyancy [cycles/hour]	cycles/hour	N	0.000000	100.000000	no	no	yes
10	51	0	N^2	Buoyancy [rad^2/s^2]	rad^2/s^2	N^2	0.000000	100.000000	no	no	yes
11	-1	0	nbytes	Byte Count	NO_UNIT	nbytes	0.000000	100.000000	yes	yes	yes
157	72	0	cdomflTC0	CDOM, Turner Cyclops [ppb QS]	ppb QS	cdomflTC	0.000000	100.000000	yes	yes	yes
157	72	1	cdomflTC1	CDOM, Turner Cyclops, 2 [ppb QS]	ppb QS	cdomflTC2	0.000000	100.000000	yes	yes	yes
170	72	0	cdomflTCdiff	CDOM, Turner Cyclops, Diff, 2 - 1 [ppb QS]	ppb QS	cdomflTCdiff	0.000000	100.000000	yes	yes	yes
152	60	0	chloroflTC0	Chlorophyll, Turner Cyclops [ug/l]	ug/l	chloroflTC	0.000000	100.000000	yes	yes	yes
152	60	1	chloroflTC1	Chlorophyll, Turner Cyclops, 2 [ug/l]	ug/l	chloroflTC2	0.000000	100.000000	yes	yes	yes
165	60	0	chloroflTCdiff	Chlorophyll, Turner Cyclops, Diff, 2 - 1 [ug/l]	ug/l	chloroflTCdiff	0.000000	100.000000	yes	yes	yes
120	58	0	c_S/m	Conductivity [S/m]	S/m	c S/m	0.000000	100.000000	yes	yes	no
120	41	0	c_mS/cm	Conductivity [mS/cm]	mS/cm	c mS/cm	0.000000	100.000000	yes	yes	no
120	62	0	c_uS/cm	Conductivity [uS/cm]	uS/cm	c uS/cm	0.000000	100.000000	yes	yes	no
176	58	0	cond0S/m	Conductivity [S/m]	S/m	c S/m	0.000000	7.000000	yes	yes	no
176	41	0	cond0mS/cm	Conductivity [mS/cm]	mS/cm	c mS/cm	0.000000	70.000000	yes	yes	no
176	62	0	cond0uS/cm	Conductivity [uS/cm]	uS/cm	c uS/cm	0.000000	700.000000	yes	yes	no
12	58	0	c0S/m	Conductivity [S/m]	S/m	c S/m	0.000000	7.000000	yes	yes	yes
12	41	0	c0mS/cm	Conductivity [mS/cm]	mS/cm	c mS/cm	0.000000	70.000000	yes	yes	yes
12	62	0	c0uS/cm	Conductivity [uS/cm]	uS/cm	c uS/cm	0.000000	700.000000	yes	yes	yes
12	58	1	c1S/m	Conductivity, 2 [S/m]	S/m	c2 S/m	0.000000	7.000000	yes	yes	yes
12	41	1	c1mS/cm	Conductivity, 2 [mS/cm]	mS/cm	c2 mS/cm	0.000000	70.000000	yes	yes	yes
12	62	1	c1uS/cm	Conductivity, 2 [uS/cm]	uS/cm	c2 uS/cm	0.000000	700.000000	yes	yes	yes
13	58	0	C2-C1S/m	Conductivity Difference, 2 - 1 [S/m]	S/m	c2-c1 S/m	-1.000000	1.000000	yes	yes	yes
13	41	0	C2-C1mS/cm	Conductivity Difference, 2 - 1 [mS/cm]	mS/cm	c2-c1 mS/cm	-10.000000	10.000000	yes	yes	yes
13	62	0	C2-C1uS/cm	Conductivity Difference, 2 - 1 [uS/cm]	uS/cm	c2-c1 uS/cm	-100.000000	100.000000	yes	yes	yes
14	46	0	cpar	CPAR/Corrected Irradiance [%]	%	cpar	0.000000	100.000000	yes	yes	yes
158	72	0	croilflTC0	Crude Oil, Turner Cyclops [ppb QS]	ppb QS	croilflTC	0.000000	100.000000	yes	yes	yes
158	72	1	croilflTC1	Crude Oil, Turner Cyclops, 2 [ppb QS]	ppb QS	croilflTC2	0.000000	100.000000	yes	yes	yes
171	72	0	croilflTCdiff	Crude Oil, Turner Cyclops, Diff, 2 - 1 [ppb QS]	ppb QS	croilflTCdiff	0.000000	100.000000	yes	yes	yes
15	11	0	density00	Density [density, kg/m^3]	density, kg/m^3	density	99.000000	1100.000000	yes	yes	yes
15	53	0	sigma-é00	Density [sigma-theta, kg/m^3]	sigma-theta, kg/m^3	sigmath	20.000000	30.000000	yes	yes	yes
15	54	0	sigma-t00	Density [sigma-t, kg/m^3 ]	sigma-t, kg/m^3 	sigmat	20.000000	30.000000	yes	yes	yes
15	55	0	sigma-100	Density [sigma-1, kg/m^3 ]	sigma-1, kg/m^3 	sigma1	20.000000	30.000000	yes	yes	yes
15	56	0	sigma-200	Density [sigma-2, kg/m^3 ]	sigma-2, kg/m^3 	sigma2	20.000000	30.000000	yes	yes	yes
15	57	0	sigma-400	Density [sigma-4, kg/m^3 ]	sigma-4, kg/m^3 	sigma4	20.000000	30.000000	yes	yes	yes
15	11	1	density11	Density, 2 [density, kg/m^3]	density, kg/m^3	density 2	990.000000	1100.000000	yes	yes	yes
15	53	1	sigma-é11	Density, 2 [sigma-theta, kg/m^3]	sigma-theta, kg/m^3	sigmath 2	20.000000	30.000000	yes	yes	yes
15	54	1	sigma-t11	Density, 2 [sigma-t, kg/m^3 ]	sigma-t, kg/m^3 	sigmat 2	20.000000	30.000000	yes	yes	yes
15	55	1	sigma-111	Density, 2 [sigma-1, kg/m^3 ]	sigma-1, kg/m^3 	sigma1 2	20.000000	30.000000	yes	yes	yes
15	56	1	sigma-211	Density, 2 [sigma-2, kg/m^3 ]	sigma-2, kg/m^3 	sigma2 2	20.000000	30.000000	yes	yes	yes
15	57	1	sigma-411	Density, 2 [sigma-4, kg/m^3 ]	sigma-4, kg/m^3 	sigma4 2	20.000000	30.000000	yes	yes	yes
16	11	0	D2-D1,d	Density Difference, 2 - 1 [density, kg/m^3]	density, kg/m^3	D2-D1,d	990.000000	1100.000000	yes	yes	yes
16	53	0	D2-D1	Density Difference, 2 - 1 [sigma-theta, kg/m^3]	sigma-theta, kg/m^3	D2-D1,th	-1.000000	1.000000	yes	yes	yes
16	54	0	D2-D1,t	Density Difference, 2 - 1 [sigma-t, kg/m^3 ]	sigma-t, kg/m^3 	D2-D1,t	-1.000000	1.000000	yes	yes	yes
16	55	0	D2-D1,1	Density Difference, 2 - 1 [sigma-1, kg/m^3 ]	sigma-1, kg/m^3 	D2-D1,1	-1.000000	1.000000	yes	yes	yes
16	56	0	D2-D1,2	Density Difference, 2 - 1 [sigma-2, kg/m^3 ]	sigma-2, kg/m^3 	D2-D1,2	-1.000000	1.000000	yes	yes	yes
16	57	0	D2-D1,4	Density Difference, 2 - 1 [sigma-4, kg/m^3 ]	sigma-4, kg/m^3 	D2-D1,4	-1.000000	1.000000	yes	yes	yes
17	31	0	depSM	Depth [salt water, m]	salt water, m	depS M	0.000000	100.000000	yes	yes	yes
17	15	0	depSF	Depth [salt water, ft]	salt water, ft	depS F	0.000000	100.000000	yes	yes	yes
17	30	0	depFM	Depth [fresh water, m]	fresh water, m	depF M	0.000000	100.000000	yes	yes	yes
17	14	0	depFF	Depth [fresh water, ft]	fresh water, ft	depF F	0.000000	100.000000	yes	yes	yes
119	31	0	dNMEA	Depth, NMEA [salt water, m]	salt water, m	dNMEA	0.000000	100.000000	yes	yes	yes
18	32	0	dz/dtM	Descent Rate [m/s]	m/s	dz/dt M	0.000000	100.000000	yes	yes	yes
18	16	0	dz/dtF	Descent Rate [ft/s]	ft/s	dz/dt F	0.000000	100.000000	yes	yes	yes
19	26	0	dm	Dynamic Meters [10 J/kg]	10 J/kg	dm	0.000000	100.000000	no	no	yes
20	-1	0	flag	Flag	NO_UNIT	flag	0.000000	100.000000	no	no	yes
22	-1	0	chConctr	Fluorescence, Biospherical Chl Con	NO_UNIT	chConctr	0.000000	100.000000	yes	yes	yes
21	-1	0	naFluor	Fluorescence, Biospherical Natural	NO_UNIT	naFluor	0.000000	100.000000	yes	yes	yes
23	-1	0	product	Fluorescence, Biospherical Production	NO_UNIT	product	0.000000	100.000000	yes	yes	yes
24	60	0	flC	Fluorescence, Chelsea Aqua 3 Chl Con [ug/l]	ug/l	flC	0.000000	100.000000	yes	yes	yes
24	60	1	flC1	Fluorescence, Chelsea Aqua 3 Chl Con, 2 [ug/l]	ug/l	flC2	0.000000	100.000000	yes	yes	yes
132	60	0	flCdiff	Fluorescence, Chelsea Aqua 3 Chl Con, Diff, 2 - 1 [ug/l]	ug/l	flCdiff	0.000000	100.000000	yes	yes	yes
25	60	0	flCM	Fluorescence, Chelsea Mini Chl Con [ug/l]	ug/l	flCM	0.000000	100.000000	yes	yes	yes
113	60	0	flCUVA	Fluorescence, Chelsea UV Aquatracka [ug/l]	ug/l	flCUVA	0.000000	100.000000	yes	yes	yes
113	60	1	flCUVA1	Fluorescence, Chelsea UV Aquatracka, 2 [ug/l]	ug/l	flCUVA2	0.000000	100.000000	yes	yes	yes
161	60	0	flCUVAdiff	Fluorescence, Chelsea UV Aquatracka, Diff, 2 - 1 [ug/l]	ug/l	flCUVAdiff	0.000000	100.000000	yes	yes	yes
26	-1	0	haardtC	Fluorescence, Dr. Haardt Chlorophyll a	NO_UNIT	haardtC	0.000000	100.000000	yes	yes	yes
27	-1	0	haardtP	Fluorescence, Dr. Haardt Phycoerythrin	NO_UNIT	haardtP	0.000000	100.000000	yes	yes	yes
28	-1	0	haardtY	Fluorescence, Dr. Haardt Yellow Sub	NO_UNIT	haardtY	0.000000	100.000000	yes	yes	yes
29	-1	0	flSP	Fluorescence, Seapoint	NO_UNIT	flSP	0.000000	100.000000	yes	yes	yes
29	-1	1	flSP1	Fluorescence, Seapoint, 2	NO_UNIT	flSP2	0.000000	100.000000	yes	yes	yes
133	-1	0	flSPdiff	Fluorescence, Seapoint Diff, 2 - 1	NO_UNIT	flSPdiff	0.000000	100.000000	yes	yes	yes
100	-1	0	flSPR	Fluorescence, Seapoint Rhodamine	NO_UNIT	flSPR	0.000000	100.000000	yes	yes	yes
151	-1	0	flSPuv0	Fluorescence, Seapoint Ultraviolet	NO_UNIT	flSPuv	0.000000	100.000000	yes	yes	yes
151	-1	1	flSPuv1	Fluorescence, Seapoint Ultraviolet, 2	NO_UNIT	flSPuv2	0.000000	100.000000	yes	yes	yes
164	-1	0	flSPuvdiff	Fluorescence, Seapoint Ultraviolet, Diff, 2 - 1	NO_UNIT	flSPuvdiff	0.000000	100.000000	yes	yes	yes
30	-1	0	flS	Fluorescence, Seatech	NO_UNIT	flS	0.000000	100.000000	yes	yes	yes
31	-1	0	flT	Fluorescence, Turner 10-005	NO_UNIT	flT	0.000000	100.000000	yes	yes	yes
32	-1	0	flTAu	Fluorescence, Turner 10-Au-005	NO_UNIT	flTAu	0.000000	100.000000	yes	yes	yes
92	-1	0	flSCC	Fluorescence, Turner Cor Chl [RFU]	NO_UNIT	flSCC	0.000000	100.000000	yes	yes	yes
92	-1	1	flSCC1	Fluorescence, Turner Cor Chl, 2 [RFU]	NO_UNIT	flSCC2	0.000000	100.000000	yes	yes	yes
135	-1	0	flSCCdiff	Fluorescence, Turner Cor Chl, Diff, 2 - 1	NO_UNIT	flSCCdiff	0.000000	100.000000	yes	yes	yes
91	-1	0	flScufa	Fluorescence, Turner SCUFA [RFU]	NO_UNIT	flScufa	0.000000	100.000000	yes	yes	yes
91	-1	1	flScufa1	Fluorescence, Turner SCUFA, 2 [RFU]	NO_UNIT	flScufa2	0.000000	100.000000	yes	yes	yes
134	-1	0	flScufadiff	Fluorescence, Turner SCUFA Diff, 2 - 1	NO_UNIT	flScufadiff	0.000000	100.000000	yes	yes	yes
33	24	0	wetChAbs	Fluorescence, WET Labs AC3 Absorption [1/m]	1/m	wetChAbs	0.000000	100.000000	yes	yes	yes
101	38	0	wetCDOM	Fluorescence, WET Labs CDOM [mg/m^3]	mg/m^3	wetCDOM	0.000000	100.000000	yes	yes	yes
101	38	1	wetCDOM1	Fluorescence, WET Labs CDOM, 2 [mg/m^3]	mg/m^3	wetCDOM2	0.000000	100.000000	yes	yes	yes
101	38	2	wetCDOM2	Fluorescence, WET Labs CDOM, 3 [mg/m^3]	mg/m^3	wetCDOM3	0.000000	100.000000	yes	yes	yes
101	38	3	wetCDOM3	Fluorescence, WET Labs CDOM, 4 [mg/m^3]	mg/m^3	wetCDOM4	0.000000	100.000000	yes	yes	yes
101	38	4	wetCDOM4	Fluorescence, WET Labs CDOM, 5 [mg/m^3]	mg/m^3	wetCDOM5	0.000000	100.000000	yes	yes	yes
101	38	5	wetCDOM5	Fluorescence, WET Labs CDOM, 6 [mg/m^3]	mg/m^3	wetCDOM6	0.000000	100.000000	yes	yes	yes
182	38	0	wetCDOMdiff	Fluorescence, WET Labs CDOM, Diff, 2 - 1 [mg/m^3]	mg/m^3	wetCDOMdiff	0.000000	100.000000	yes	yes	yes
34	38	0	wetChConc	Fluorescence, WET Labs Chl Con [mg/m^3]	mg/m^3	wetChConc	0.000000	100.000000	yes	yes	yes
93	38	0	flECO-AFL	Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]	mg/m^3	eco-afl	0.000000	100.000000	yes	yes	yes
93	38	1	flECO-AFL1	Fluorescence, WET Labs ECO-AFL/FL, 2 [mg/m^3]	mg/m^3	eco-afl2	0.000000	100.000000	yes	yes	yes
93	38	2	flECO-AFL2	Fluorescence, WET Labs ECO-AFL/FL, 3 [mg/m^3]	mg/m^3	eco-afl3	0.000000	100.000000	yes	yes	yes
93	38	3	flECO-AFL3	Fluorescence, WET Labs ECO-AFL/FL, 4 [mg/m^3]	mg/m^3	eco-afl4	0.000000	100.000000	yes	yes	yes
93	38	4	flECO-AFL4	Fluorescence, WET Labs ECO-AFL/FL, 5 [mg/m^3]	mg/m^3	eco-afl5	0.000000	100.000000	yes	yes	yes
93	38	5	flECO-AFL5	Fluorescence, WET Labs ECO-AFL/FL, 6 [mg/m^3]	mg/m^3	eco-afl6	0.000000	100.000000	yes	yes	yes
147	38	0	flECO-AFLdiff	Fluorescence, WET Labs ECO-AFL/FL, Diff, 2 - 1 [mg/m^3]	mg/m^3	eco-afldiff	0.000000	100.000000	yes	yes	yes
35	38	0	wetStar	Fluorescence, WET Labs WETstar [mg/m^3]	mg/m^3	WETstar	0.000000	100.000000	yes	yes	yes
35	38	1	wetStar1	Fluorescence, WET Labs WETstar, 2 [mg/m^3]	mg/m^3	WETstar2	0.000000	100.000000	yes	yes	yes
35	38	2	wetStar2	Fluorescence, WET Labs WETstar, 3 [mg/m^3]	mg/m^3	WETstar3	0.000000	100.000000	yes	yes	yes
35	38	3	wetStar3	Fluorescence, WET Labs WETstar, 4 [mg/m^3]	mg/m^3	WETstar4	0.000000	100.000000	yes	yes	yes
35	38	4	wetStar4	Fluorescence, WET Labs WETstar, 5 [mg/m^3]	mg/m^3	WETstar5	0.000000	100.000000	yes	yes	yes
35	38	5	wetStar5	Fluorescence, WET Labs WETstar, 6 [mg/m^3]	mg/m^3	WETstar6	0.000000	100.000000	yes	yes	yes
136	38	0	wetStardiff	Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]	mg/m^3	wetStardiff	0.000000	100.000000	yes	yes	yes
154	69	0	flflTC0	Fluorescein, Turner Cyclops [ppb]	ppb	flflTC	0.000000	100.000000	yes	yes	yes
154	69	1	flflTC1	Fluorescein, Turner Cyclops, 2 [ppb]	ppb	flflTC2	0.000000	100.000000	yes	yes	yes
167	69	0	flflTCdiff	Fluorescein, Turner Cyclops, Diff, 2 - 1 [ppb]	ppb	flflTCdiff	0.000000	100.000000	yes	yes	yes
36	23	0	f0	Frequency 0	Hz	f0	0.000000	20000.000000	yes	yes	yes
36	23	1	f1	Frequency 1	Hz	f1	0.000000	20000.000000	yes	yes	yes
36	23	2	f2	Frequency 2	Hz	f2	0.000000	20000.000000	yes	yes	yes
36	23	3	f3	Frequency 3	Hz	f3	0.000000	20000.000000	yes	yes	yes
36	23	4	f4	Frequency 4	Hz	f4	0.000000	20000.000000	yes	yes	yes
36	23	5	f5	Frequency 5	Hz	f5	0.000000	20000.000000	yes	yes	yes
36	23	6	f6	Frequency 6	Hz	f6	0.000000	20000.000000	yes	yes	yes
36	23	7	f7	Frequency 7	Hz	f7	0.000000	20000.000000	yes	yes	yes
36	23	8	f8	Frequency 8	Hz	f8	0.000000	20000.000000	yes	yes	yes
36	23	9	f9	Frequency 9	Hz	f9	0.000000	20000.000000	yes	yes	yes
36	23	10	f10	Frequency 10	Hz	f10	0.000000	20000.000000	yes	yes	yes
36	23	11	f11	Frequency 11	Hz	f11	0.000000	20000.000000	yes	yes	yes
36	23	12	f12	Frequency 12	Hz	f12	0.000000	20000.000000	yes	yes	yes
36	23	13	f13	Frequency 13	Hz	f13	0.000000	20000.000000	yes	yes	yes
36	23	14	f14	Frequency 14	Hz	f14	0.000000	20000.000000	yes	yes	yes
36	23	15	f15	Frequency 15	Hz	f15	0.000000	20000.000000	yes	yes	yes
36	23	16	f16	Frequency 16	Hz	f16	0.000000	20000.000000	yes	yes	yes
36	23	17	f17	Frequency 17	Hz	f17	0.000000	20000.000000	yes	yes	yes
36	23	18	f18	Frequency 18	Hz	f18	0.000000	20000.000000	yes	yes	yes
36	23	19	f19	Frequency 19	Hz	f19	0.000000	20000.000000	yes	yes	yes
36	23	20	f20	Frequency 20	Hz	f20	0.000000	20000.000000	yes	yes	yes
36	23	21	f21	Frequency 21	Hz	f21	0.000000	20000.000000	yes	yes	yes
36	23	22	f22	Frequency 22	Hz	f22	0.000000	20000.000000	yes	yes	yes
36	23	23	f23	Frequency 23	Hz	f23	0.000000	20000.000000	yes	yes	yes
36	23	24	f24	Frequency 24	Hz	f24	0.000000	20000.000000	yes	yes	yes
36	23	25	f25	Frequency 25	Hz	f25	0.000000	20000.000000	yes	yes	yes
36	23	26	f26	Frequency 26	Hz	f26	0.000000	20000.000000	yes	yes	yes
36	23	27	f27	Frequency 27	Hz	f27	0.000000	20000.000000	yes	yes	yes
36	23	28	f28	Frequency 28	Hz	f28	0.000000	20000.000000	yes	yes	yes
36	23	29	f29	Frequency 29	Hz	f29	0.000000	20000.000000	yes	yes	yes
36	23	30	f30	Frequency 30	Hz	f30	0.000000	20000.000000	yes	yes	yes
36	23	31	f31	Frequency 31	Hz	f31	0.000000	20000.000000	yes	yes	yes
36	23	32	f32	Frequency 32	Hz	f32	0.000000	20000.000000	yes	yes	yes
36	23	33	f33	Frequency 33	Hz	f33	0.000000	20000.000000	yes	yes	yes
36	23	34	f34	Frequency 34	Hz	f34	0.000000	20000.000000	yes	yes	yes
36	23	35	f35	Frequency 35	Hz	f35	0.000000	20000.000000	yes	yes	yes
36	23	36	f36	Frequency 36	Hz	f36	0.000000	20000.000000	yes	yes	yes
37	25	0	gpa	Geopotential Anomaly [J/kg]	J/kg	gpa	0.000000	100.000000	no	no	yes
102	65	0	GTDDOP0	GTD-DO Pressure [mb]	mb	GTDDOP	0.000000	100.000000	yes	yes	yes
102	65	1	GTDDOP1	GTD-DO Pressure, 2 [mb]	mb	GTDDOP2	0.000000	100.000000	yes	yes	yes
137	65	0	GTDDOPdiff	GTD-DO Pressure, Diff, 2 - 1 [mb]	mb	GTDDOPdiff	0.000000	100.000000	yes	yes	yes
103	7	0	GTDDOT0	GTD-DO Temperature [deg C]	deg C	GTDDOT	0.000000	100.000000	yes	yes	yes
103	7	1	GTDDOT1	GTD-DO Temperature, 2 [deg C]	deg C	GTDDOT2	0.000000	100.000000	yes	yes	yes
138	7	0	GTDDOTdiff	GTD-DO Temperature, Diff, 2 - 1 [deg C]	deg C	GTDDOTdiff	0.000000	100.000000	yes	yes	yes
104	65	0	GTDN2P0	GTD-N2 Pressure [mb]	mb	GTDN2P	0.000000	100.000000	yes	yes	yes
104	65	1	GTDN2P1	GTD-N2 Pressure, 2 [mb]	mb	GTDN2P2	0.000000	100.000000	yes	yes	yes
139	65	0	GTDN2Pdiff	GTD-N2 Pressure, Diff, 2 - 1 [mb]	mb	GTDN2Pdiff	0.000000	100.000000	yes	yes	yes
105	7	0	GTDN2T0	GTD-N2 Temperature [deg C]	deg C	GTDN2T	0.000000	100.000000	yes	yes	yes
105	7	1	GTDN2T1	GTD-N2 Temperature, 2 [deg C]	deg C	GTDN2T2	0.000000	100.000000	yes	yes	yes
140	7	0	GTDN2Tdiff	GTD-N2 Temperature, Diff, 2 - 1 [deg C]	deg C	GTDN2Tdiff	0.000000	100.000000	yes	yes	yes
39	4	0	latitude	Latitude [deg]	deg	latitude	-90.000000	90.000000	yes	yes	yes
109	24	0	lisstBC	LISST-25A, Beam C [1/m]	1/m	lisstBC	0.000000	100.000000	yes	yes	yes
110	46	0	lisstOT	LISST-25A, Optical Transmission [%]	%	lisstOT	0.000000	100.000000	yes	yes	yes
111	66	0	lisstMD	LISST-25A, Sauter Mean Diameter [u]	u	lisstMD	0.000000	100.000000	yes	yes	yes
112	67	0	lisstTVC	LISST-25A, Total Volume Conc. [ul/l]	ul/l	lisstTVC	0.000000	100.000000	yes	yes	yes
40	4	0	longitude	Longitude [deg]	deg	longitude	-180.000000	180.000000	yes	yes	yes
106	64	0	meth	Methane Conc., Franatech METS [umol/l]	umol/l	meth	0.000000	100.000000	yes	yes	yes
107	7	0	methT	Methane Gas Temp., Franatech METS [deg C]	deg C	methT	0.000000	100.000000	yes	yes	yes
41	-1	0	modError	Modulo Error Count	NO_UNIT	modError	0.000000	255.000000	yes	yes	yes
42	-1	0	mod	Modulo Word	NO_UNIT	mod	0.000000	100.000000	yes	yes	yes
43	-1	0	newpos	New Position	NO_UNIT	newpos	0.000000	100.000000	yes	yes	yes
108	40	0	n2satML/L	Nitrogen Saturation [ml/l]	ml/l	N2sat ml/l	0.000000	100.000000	yes	yes	yes
108	37	0	n2satMg/L	Nitrogen Saturation [mg/l]	mg/l	N2sat mg/l	0.000000	100.000000	yes	yes	yes
108	61	0		Nitrogen Saturation [umol/kg]	umol/kg		0.000000	0.000000	yes	yes	yes
45	45	0	obs	OBS, Backscatterance (D & A) [NTU]	NTU	obs	0.000000	100.000000	yes	yes	yes
45	45	1	obs1	OBS, Backscatterance (D & A), 2 [NTU]	NTU	obs2	0.000000	100.000000	yes	yes	yes
145	45	0	obsdiff	OBS, Backscatterance (D & A), Diff, 2 - 1 [NTU]	NTU	obsdiff	0.000000	100.000000	yes	yes	yes
46	21	0	nephc	OBS, Chelsea Nephelometer [FTU]	FTU	nephc	0.000000	100.000000	yes	yes	yes
118	45	0	obs3+	OBS, D & A 3plus [NTU]	NTU	obs3+	0.000000	100.000000	yes	yes	yes
118	45	1	obs3+1	OBS, D & A 3plus, 2 [NTU]	NTU	obs3+2	0.000000	100.000000	yes	yes	yes
146	45	0	obs3+diff	OBS, D & A 3plus, Diff, 2 - 1 [NTU]	NTU	obs3+diff	0.000000	100.000000	yes	yes	yes
47	-1	0	haardtT	OBS, Dr. Haardt Turbidity	NO_UNIT	haardtT	0.000000	100.000000	yes	yes	yes
48	-1	0	diff	OBS, IFREMER	NO_UNIT	diff	0.000000	100.000000	yes	yes	yes
50	-1	0	stLs6000	OBS, Seatech LS6000	NO_UNIT	stLs6000	0.000000	100.000000	yes	yes	yes
50	-1	1	stLs60001	OBS, Seatech LS6000, 2	NO_UNIT	stLs60002	0.000000	100.000000	yes	yes	yes
